,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_custommlp__alpha,param_custommlp__batch_size,param_custommlp__class_weight,param_custommlp__hidden_layer_size,param_custommlp__n_epochs,param_custommlp__nesterovs_momentum,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,77.48397340774537,1.441579995710673,0.1630577564239502,0.022715451092774543,5.338528208876637e-05,16,,400,120,True,"{'custommlp__alpha': 5.338528208876637e-05, 'custommlp__batch_size': 16, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 400, 'custommlp__n_epochs': 120, 'custommlp__nesterovs_momentum': True}",0.48985866942055,0.5569550902803343,0.5207280736104875,0.5215093558035291,0.5255346748452339,0.522917172792027,0.021284125037224502,85
12,12.701013612747193,0.33567275639127064,0.14962491989135743,0.016184719126309057,1.5998881492631487e-05,128,balanced,400,129,True,"{'custommlp__alpha': 1.5998881492631487e-05, 'custommlp__batch_size': 128, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 400, 'custommlp__n_epochs': 129, 'custommlp__nesterovs_momentum': True}",0.5423895697867789,0.5857516623044423,0.593827606886953,0.5645199646966678,0.5714905467117735,0.5715958700773232,0.017875816522770552,9
13,3.2253684520721437,0.05839511884636157,0.17245869636535643,0.03048136723636189,6.741199446482257e-05,128,balanced,200,19,False,"{'custommlp__alpha': 6.741199446482257e-05, 'custommlp__batch_size': 128, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 200, 'custommlp__n_epochs': 19, 'custommlp__nesterovs_momentum': False}",0.5363208228089286,0.5908875339053928,0.5766052733941154,0.5591249712418997,0.5552477273603253,0.5636372657421325,0.0186958794811644,26
14,483.0105977535248,1.709535920081673,0.17028388977050782,0.02468764716651726,0.00022361691130771508,8,balanced,100,410,False,"{'custommlp__alpha': 0.00022361691130771508, 'custommlp__batch_size': 8, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 100, 'custommlp__n_epochs': 410, 'custommlp__nesterovs_momentum': False}",0.48360296519790297,0.5343727045475613,0.5367406658109495,0.5034507193714797,0.47501236982160994,0.5066358849499006,0.0253627142601816,93
15,176.45591912269592,1.4244541746290258,0.1554593563079834,0.012416978110875419,0.00043851702560851274,8,balanced,200,139,True,"{'custommlp__alpha': 0.00043851702560851274, 'custommlp__batch_size': 8, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 200, 'custommlp__n_epochs': 139, 'custommlp__nesterovs_momentum': True}",0.4982227727584975,0.5478715639958109,0.5091911870621251,0.5127721263179384,0.46243641514619754,0.5060988130561139,0.027449938469756182,94
16,36.86328134536743,0.23872446374350387,0.15848703384399415,0.011739812367053114,0.0008972612866432509,32,,50,107,False,"{'custommlp__alpha': 0.0008972612866432509, 'custommlp__batch_size': 32, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 50, 'custommlp__n_epochs': 107, 'custommlp__nesterovs_momentum': False}",0.5057460872260886,0.5268187721394673,0.5625101286513924,0.5230700846017375,0.497492315802222,0.5231274776841814,0.02246729358377482,83
17,7.014464378356934,0.30475238943141053,0.17883820533752443,0.016774170262347454,1.0964159147797006e-05,32,,300,16,False,"{'custommlp__alpha': 1.0964159147797006e-05, 'custommlp__batch_size': 32, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 16, 'custommlp__nesterovs_momentum': False}",0.5287547050155745,0.5653399499665178,0.5502004771205605,0.5357366097197296,0.5445208062893913,0.5449105096223548,0.012575119240081669,53
18,228.71630444526673,4.047397757646713,0.16824851036071778,0.0261469283186951,9.157713694316305e-05,16,,300,363,False,"{'custommlp__alpha': 9.157713694316305e-05, 'custommlp__batch_size': 16, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 363, 'custommlp__nesterovs_momentum': False}",0.5079947197528681,0.5582216141154541,0.5666766040170024,0.5090289359567559,0.49172059632745235,0.5267284940339065,0.029924737794865236,79
19,14.075717496871949,0.1335561921792813,0.1679757595062256,0.02255520908658005,0.00024262985503685795,64,,100,73,True,"{'custommlp__alpha': 0.00024262985503685795, 'custommlp__batch_size': 64, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 100, 'custommlp__n_epochs': 73, 'custommlp__nesterovs_momentum': True}",0.5132145162288253,0.5683561741387628,0.5428574273712774,0.5599574111431359,0.5228018748638495,0.5414374807491702,0.02104015996630972,57
20,20.80711898803711,0.5506428878296066,0.1678460121154785,0.019507520353754013,1.5412781495004114e-05,16,,200,30,True,"{'custommlp__alpha': 1.5412781495004114e-05, 'custommlp__batch_size': 16, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 200, 'custommlp__n_epochs': 30, 'custommlp__nesterovs_momentum': True}",0.512279835164715,0.5674914922191243,0.5498876792416023,0.5359398549770793,0.526706775733445,0.5384611274671932,0.018991102281654404,63
