,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__pipeline-1__pca__n_components,param_columntransformer__pipeline-1__tfidfvectorizer__dtype,param_columntransformer__pipeline-1__tfidfvectorizer__min_df,param_columntransformer__pipeline-1__tfidfvectorizer__ngram_range,param_columntransformer__pipeline-1__tfidfvectorizer__norm,param_columntransformer__pipeline-1__tfidfvectorizer__tokenizer,param_columntransformer__pipeline-1__tfidfvectorizer__use_idf,param_columntransformer__pipeline-2__pca__n_components,param_columntransformer__pipeline-2__standardscaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
43,4.777917146682739,0.04848145112800147,0.57485032081604,0.04205933267431078,0.5917759732636535,<class 'numpy.float32'>,16,"(1, 1)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,True,0.5976420852819626,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.5917759732636535, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 16, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.5976420852819626, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5279951950019033,0.5494623165195819,0.5370822871032004,0.5381799328748952,0.008798217480216641,11
21,4.480087121327718,0.08622255584845266,0.4723970095316569,0.018436463194066697,0.6902818884869251,<class 'numpy.float64'>,16,"(1, 1)",l2,,False,0.321041422498599,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.6902818884869251, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 16, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.321041422498599, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5500132133980609,0.5580579432673687,0.5032267677039477,0.5370993081231258,0.024175623611455834,12
27,323.30508335431415,2.869021773536703,0.8871642748514811,0.08165754278061524,0.3237007633723198,<class 'numpy.float64'>,1,"(2, 2)",l1,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.8828606010565866,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.3237007633723198, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l1', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.8828606010565866, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.541945224361932,0.5272325249144587,0.5398461226894604,0.5363412906552837,0.006497628641730965,13
35,7.605547904968262,1.113801068044166,0.5186314582824707,0.028312355886365177,0.582925207982154,<class 'numpy.float32'>,2,"(1, 1)",,,True,0.4133787001155217,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.582925207982154, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 2, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.4133787001155217, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5398574000937955,0.5505811524681252,0.5112239736947967,0.5338875087522391,0.01661277785764978,14
5,31.59795832633972,0.6174287158302765,0.7325610319773356,0.059576577177018766,0.23508295523204661,<class 'numpy.float32'>,1,"(1, 1)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,True,0.7811384788043799,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.23508295523204661, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.7811384788043799, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5203597057180236,0.5606436725648154,0.5173936146296622,0.5327989976375004,0.01972635910724528,15
10,7.8372524579366045,1.0900095503820784,0.5903874238332113,0.11467223541927887,0.11355806397649773,<class 'numpy.float64'>,4,"(1, 1)",,,False,0.9773152778758297,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.11355806397649773, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 4, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.9773152778758297, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.530018699831545,0.5473811985209486,0.5137833363087182,0.5303944115537372,0.013718842414277014,16
38,15.190106391906738,0.4938270489869806,-0.032376368840535484,0.8994945494099037,0.939588104002897,<class 'numpy.float32'>,8,"(2, 2)",l2,,False,0.8213585817403458,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.939588104002897, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.8213585817403458, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5298524088002874,0.5369739668530554,0.5181039252213526,0.5283101002915652,0.007780473612302661,17
26,199.4562353293101,3.6371971108518903,0.7243094444274902,0.02173317935276379,0.2714580475841791,<class 'numpy.float32'>,1,"(1, 2)",l2,,False,0.11850327266615336,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.2714580475841791, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.11850327266615336, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5288327461276738,0.5284448497924168,0.49252652329684465,0.5166013730723118,0.017024226065134512,18
19,5.288267215092977,0.09658797771760311,0.6468416849772135,0.07351314849080962,0.4944744241567789,<class 'numpy.float32'>,8,"(1, 2)",,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.7595133639551923,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.4944744241567789, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.7595133639551923, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5123198521403008,0.5213524845454203,0.5154211350420591,0.5163644905759268,0.00374740370469675,19
30,14.336127281188965,0.9616630351658407,0.44084898630777997,0.01875716010024158,0.31853062436303503,<class 'numpy.float32'>,4,"(1, 2)",,,False,0.4114840861121085,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.31853062436303503, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 4, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.4114840861121085, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5000488460131531,0.528262875236566,0.5048316436484386,0.5110477882993859,0.012328509020316143,20
49,5.64451789855957,0.3913458910089018,0.6491375764211019,0.1379840185990844,0.7713757595465605,<class 'numpy.float32'>,16,"(1, 2)",,<function stemming_tokenizer at 0x7f8d0c880180>,True,0.47865473833171435,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.7713757595465605, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 16, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.47865473833171435, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5055311033085012,0.5214942731090756,0.49167884118042854,0.506234739199335,0.012182263688742985,21
33,19.565490166346233,0.5502232245260953,0.37854695320129395,0.04976338379490616,0.3630590543604135,<class 'numpy.float32'>,1,"(1, 1)",l1,,False,0.4243582890943989,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.3630590543604135, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l1', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.4243582890943989, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.4861915295207588,0.4829118498351659,0.485660533423658,0.48492130425986096,0.0014373400264560026,22
